User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,posx,posy
43,Background_Download,-67.8,86.7,5.9,6.1,84.5,67,5
44,Voice_Call,-15.8,67.8,0.5,1.7,87.6,95,24
45,Streaming,-14.1,19.5,2.0,4.0,89.5,55,64
46,Video_Streaming,-84.9,44.2,5.5,7.5,69.1,5,61
47,Online_Gaming,-53.1,13.6,2.8,3.5,87.7,80,74
48,Streaming,-44.5,53.8,4.8,5.4,85.6,49,82
49,Streaming,-15.7,35.2,3.7,3.8,99.4,95,4
50,Web_Browsing,-27.9,74.6,1.0,1.8,86.2,66,71
51,Background_Download,-46.2,48.9,5.1,6.1,72.8,71,5
52,Background_Download,-8.8,60.6,8.2,9.0,91.8,78,9
53,Voice_Call,-78.6,64.5,0.1,1.3,87.7,22,97
54,Video_Call,-79.3,28.1,1.2,2.3,64.8,84,13
55,Web_Browsing,-81.4,54.7,0.9,2.3,80.0,57,7
56,Streaming,-62.7,57.9,3.6,5.2,66.8,88,23
57,Background_Download,-59.4,49.4,6.8,7.7,54.8,26,7
58,Streaming,-49.9,99.7,4.9,4.9,91.3,99,51
59,Emergency_Service,-64.6,69.7,8.9,9.0,62.2,49,7
60,Background_Download,-11.8,75.9,6.4,7.6,79.7,35,69
61,VoIP_Call,-61.4,31.7,0.5,2.3,73.8,33,43
62,File_Download,-0.9,18.9,13.9,15.6,75.6,99,85
63,Emergency_Service,-50.9,80.9,4.5,5.1,57.1,45,3
64,File_Download,-12.1,88.5,14.6,15.0,75.7,66,28
65,VoIP_Call,-94.8,89.0,0.2,1.9,73.9,41,12
66,Streaming,-98.8,23.1,4.5,4.8,91.6,70,5
67,Video_Call,-50.5,55.1,1.6,3.2,76.2,22,45
68,Voice_Call,-41.1,27.6,0.3,1.9,79.8,89,52
69,Voice_Call,-98.8,28.6,0.4,0.9,52.8,59,44
70,Video_Call,-57.2,64.2,2.0,3.9,51.0,61,60
71,Video_Streaming,-36.3,23.0,8.2,9.5,53.9,29,78
72,File_Download,-97.6,49.1,17.4,18.5,98.1,50,74
73,Background_Download,-34.5,18.4,6.5,7.8,53.5,99,73
74,Web_Browsing,-13.2,32.9,1.0,2.7,91.7,28,9
75,Emergency_Service,-90.9,12.6,9.5,10.1,76.0,88,83
76,Video_Streaming,-1.7,52.5,5.1,6.2,90.3,24,84
77,Voice_Call,-52.0,86.4,0.3,2.1,96.1,87,8
78,Emergency_Service,-25.3,62.6,3.1,5.0,90.2,85,76
79,Online_Gaming,-85.9,40.7,1.0,1.3,79.4,0,60
80,Voice_Call,-29.5,54.0,0.3,1.6,76.7,5,33
81,File_Download,-97.0,23.6,11.2,12.0,52.5,42,16
82,Streaming,-91.1,95.3,3.4,4.9,85.1,42,62
83,File_Download,-0.6,33.2,14.0,14.0,64.2,65,18
84,Voice_Call,-63.4,20.7,0.3,2.2,99.8,79,74
85,Streaming,-99.3,53.3,3.2,4.7,70.2,94,27
86,Voice_Call,-30.3,70.0,0.3,1.8,99.2,69,48
87,Video_Call,-40.0,13.2,1.8,2.6,86.2,17,67
88,Voice_Call,-9.6,12.9,0.3,2.2,76.2,80,25
89,File_Download,-88.8,46.6,17.7,17.9,95.9,67,20
90,Online_Gaming,-76.2,40.9,1.6,3.2,90.1,24,24
91,Background_Download,-71.5,59.9,6.5,6.8,84.1,26,19
92,Streaming,-36.7,67.5,3.7,4.0,86.7,96,12
93,Background_Download,-25.2,28.4,5.5,6.0,77.3,98,23
94,Video_Call,-81.6,91.6,1.4,2.5,89.3,16,60
95,Online_Gaming,-98.1,67.0,1.9,3.4,91.6,88,65
96,Voice_Call,-31.8,25.3,0.3,0.7,67.2,36,24
97,Online_Gaming,-58.0,47.9,1.2,1.2,62.3,28,20
98,Emergency_Service,-27.9,25.7,5.5,6.2,73.5,31,26
99,VoIP_Call,-76.2,84.9,0.4,1.2,82.5,81,20
100,Online_Gaming,-31.6,14.8,2.9,3.1,90.8,93,36
101,Video_Streaming,-89.6,66.1,6.9,7.6,81.9,88,44
102,Streaming,-84.1,73.7,3.3,5.0,68.1,96,89
103,Voice_Call,-36.6,19.6,0.3,0.7,96.2,40,91
104,Streaming,-2.0,98.0,2.7,3.4,83.2,78,71
105,Web_Browsing,-95.8,17.7,1.0,1.3,55.5,87,68
106,Online_Gaming,-52.3,18.7,1.4,2.7,97.3,41,19
107,Voice_Call,-62.3,13.0,0.5,1.1,82.4,8,35
108,Online_Gaming,-57.2,37.5,2.4,2.5,59.3,5,10
109,Emergency_Service,-78.2,99.2,5.8,6.1,66.0,4,40
110,Online_Gaming,-1.7,34.3,1.1,1.8,67.1,12,15
111,Background_Download,-41.4,93.8,6.0,7.6,89.7,63,45
112,Emergency_Service,-51.3,44.3,3.9,5.6,81.2,40,6
113,Online_Gaming,-48.9,43.7,2.3,2.6,63.9,18,17
114,Video_Streaming,-14.9,43.3,9.6,10.5,76.3,17,27
115,File_Download,-67.6,83.1,17.4,18.8,73.3,35,91
116,VoIP_Call,-3.1,95.0,0.4,1.5,61.4,16,96
117,Video_Call,-8.3,17.6,1.9,2.8,60.7,91,94
118,Voice_Call,-45.5,90.2,0.2,0.5,67.8,50,79
119,Streaming,-99.3,12.8,4.2,4.9,95.7,38,98
120,Background_Download,-61.1,59.4,7.7,9.5,62.4,28,65
121,Voice_Call,-71.1,55.7,0.1,1.3,83.7,40,26
122,File_Download,-14.9,99.1,17.2,18.0,72.4,62,52
123,File_Download,-95.4,15.1,11.7,12.7,82.8,25,61
124,Video_Streaming,-40.4,12.2,7.6,9.4,63.3,33,30
125,Video_Call,-68.0,63.3,1.6,1.8,97.3,95,88
126,Video_Call,-45.4,31.8,1.6,1.8,51.2,33,49
127,Web_Browsing,-64.9,90.2,0.8,2.7,68.4,33,86
128,Video_Call,-67.7,58.2,1.5,2.2,94.2,24,31
129,Video_Streaming,-31.9,74.8,9.0,9.8,65.8,20,72
130,Video_Call,-76.0,24.6,1.7,3.3,82.3,51,89
131,Video_Call,-2.7,64.9,1.3,2.6,78.4,52,78
132,VoIP_Call,-78.4,18.2,0.2,1.0,69.1,68,18
133,Video_Streaming,-74.8,26.2,8.4,8.5,74.6,96,43
134,Streaming,-77.1,48.8,4.4,6.0,78.4,19,42
135,File_Download,-4.1,98.3,5.2,7.0,99.3,54,92
136,Background_Download,-41.8,28.0,7.1,8.2,84.4,62,69
137,Online_Gaming,-22.6,43.5,2.1,3.1,65.9,3,61
138,Emergency_Service,-36.5,76.1,7.0,8.4,73.2,29,12
139,Streaming,-85.3,76.7,3.7,4.0,67.9,88,94
140,File_Download,-50.0,94.7,13.9,14.0,64.9,16,91
141,Online_Gaming,-96.6,21.2,2.2,2.5,68.3,36,2
142,File_Download,-29.8,82.8,6.4,8.3,84.7,65,76
143,Online_Gaming,-33.2,99.7,1.6,2.6,60.2,13,95
144,Online_Gaming,-93.3,26.3,1.1,1.4,54.6,35,72
145,VoIP_Call,-90.7,17.8,0.3,1.1,80.8,9,50
146,Background_Download,-87.3,59.7,5.2,5.9,72.7,92,84
147,VoIP_Call,-69.8,68.2,0.1,0.6,57.2,41,33
148,Web_Browsing,-97.7,41.2,0.6,0.7,89.0,88,41
149,File_Download,-6.5,44.4,7.3,8.3,55.2,46,95
150,Emergency_Service,-5.5,18.1,9.0,10.4,68.0,11,10
151,Voice_Call,-89.1,86.6,0.2,1.4,67.4,38,57
152,File_Download,-73.9,21.7,16.2,17.7,89.8,16,66
153,Online_Gaming,-82.2,42.6,2.5,2.6,50.1,24,99
154,Voice_Call,-87.4,58.4,0.2,1.4,69.1,53,81
155,Video_Call,-11.6,26.8,1.4,1.6,66.7,5,44
156,Background_Download,-32.9,29.0,6.3,8.0,84.0,83,92
157,File_Download,-90.7,90.9,17.9,18.5,51.1,91,25
158,Online_Gaming,-59.6,57.3,1.6,3.6,64.0,78,34
159,Background_Download,-83.2,26.0,7.7,9.2,80.2,10,15
160,Emergency_Service,-92.9,15.0,4.7,5.0,78.8,22,55
161,Video_Call,-80.4,62.1,1.7,3.5,83.9,21,4
162,File_Download,-20.7,13.8,17.4,17.7,61.1,66,30
163,File_Download,-90.9,43.4,15.0,15.7,53.4,2,20
164,Video_Call,-8.1,33.6,1.8,2.6,53.3,76,80
165,Video_Call,-23.1,37.5,1.6,1.9,50.6,80,25
166,Emergency_Service,-37.5,28.6,6.5,6.9,96.2,29,72
167,Video_Streaming,-42.9,82.6,6.0,7.1,97.2,63,18
168,VoIP_Call,-56.5,55.0,0.2,1.3,85.2,15,48
169,Background_Download,-30.9,89.5,6.2,6.6,66.5,92,85
170,Emergency_Service,-0.2,10.8,8.4,8.4,85.6,76,86
171,Video_Call,-25.2,45.3,1.3,3.2,99.0,7,89
172,Background_Download,-25.1,49.1,5.2,6.9,82.3,27,91
173,File_Download,-78.4,33.9,15.9,16.1,65.9,19,59
174,Background_Download,-78.2,24.0,7.1,9.0,98.7,64,96
175,Online_Gaming,-93.4,65.2,2.6,3.0,54.2,67,8
176,File_Download,-44.6,45.0,12.0,13.4,87.7,89,58
177,Web_Browsing,-33.7,58.0,0.8,2.7,70.7,47,34
178,Video_Streaming,-15.1,30.4,5.7,6.0,63.6,13,3
179,Background_Download,-43.9,45.5,5.5,6.8,64.5,54,37
180,Video_Streaming,-78.9,75.3,9.2,10.4,88.9,12,35
181,Video_Streaming,-46.6,89.5,4.1,5.1,84.3,30,60
182,VoIP_Call,-8.6,60.4,0.4,1.8,64.3,96,64
183,Video_Call,-1.4,16.5,1.0,1.2,89.5,70,62
184,Video_Streaming,-37.9,58.8,4.3,6.3,93.8,96,89
185,Video_Call,-10.3,96.5,1.9,3.1,60.9,66,38
186,VoIP_Call,-38.2,65.6,0.1,1.1,83.0,75,17
187,Web_Browsing,-22.1,99.7,0.6,0.7,86.2,5,47
188,VoIP_Call,-45.1,91.4,0.2,1.8,91.1,39,74
189,Video_Call,-48.1,87.4,1.3,3.2,73.8,51,10
190,Emergency_Service,-64.4,41.6,8.1,9.4,76.8,26,8
191,File_Download,-99.8,42.5,14.3,14.8,93.1,88,69
192,File_Download,-46.6,24.5,16.4,17.1,99.4,75,98
193,Video_Streaming,-13.4,46.2,5.4,5.5,83.5,22,30
194,Online_Gaming,-81.3,26.5,1.5,2.7,93.4,64,87
195,Emergency_Service,-48.3,31.4,6.6,7.0,84.4,29,86
196,Video_Streaming,-94.8,57.2,7.7,9.5,69.8,40,75
197,Online_Gaming,-63.8,78.0,1.9,2.7,66.2,57,23
198,Video_Streaming,-67.7,49.8,10.0,10.4,70.3,80,34
199,Video_Streaming,-83.3,41.8,6.9,8.8,51.9,87,35
200,Emergency_Service,-6.0,61.4,2.6,3.3,52.5,1,34
201,Background_Download,-83.5,52.3,7.1,7.2,79.9,25,34
202,Emergency_Service,-15.2,18.7,2.5,3.1,85.6,17,14
203,Video_Call,-77.4,68.8,2.0,3.7,57.3,59,28
204,VoIP_Call,-19.8,16.0,0.2,0.4,98.6,94,97
205,Streaming,-16.1,46.2,4.6,6.2,83.9,44,20
206,File_Download,-19.3,30.4,11.8,12.3,75.7,37,67
207,Emergency_Service,-96.3,37.3,6.6,7.0,92.0,95,97
208,Video_Streaming,-12.9,79.3,6.9,7.6,97.4,39,13
209,File_Download,-3.1,25.2,8.7,9.6,91.8,11,5
210,Voice_Call,-51.2,28.9,0.3,1.4,51.5,35,63
211,VoIP_Call,-78.6,98.4,0.3,1.9,91.0,27,27
212,Video_Streaming,-68.8,90.4,5.2,6.1,88.9,80,82
213,Streaming,-48.8,80.4,3.9,4.3,79.9,65,13
214,File_Download,-0.7,13.3,8.3,9.6,62.8,1,48
215,Web_Browsing,-68.7,47.6,1.0,2.1,54.1,89,45
216,Streaming,-24.8,82.7,3.0,3.3,51.6,99,38
217,Video_Call,-27.5,71.9,1.5,3.2,99.7,77,63
218,Emergency_Service,-9.5,87.4,7.0,7.5,76.0,35,56
219,File_Download,-83.5,35.7,19.1,19.6,52.8,94,93
220,Video_Call,-69.6,38.2,1.3,2.6,68.3,83,96
221,Video_Call,-48.8,21.8,1.8,2.8,73.7,36,3
222,Emergency_Service,-1.6,87.8,7.6,8.2,97.1,49,97
223,Video_Streaming,-69.9,33.2,6.3,7.3,57.0,80,97
224,Emergency_Service,-22.5,69.2,7.4,7.9,61.4,25,56
225,Emergency_Service,-5.4,29.8,8.2,8.4,63.8,5,56
226,Streaming,-42.5,81.8,4.6,6.6,60.3,20,41
227,Video_Call,-32.7,18.1,1.5,3.4,53.5,82,73
228,Video_Call,-29.1,14.1,1.3,3.3,89.6,20,6
229,VoIP_Call,-29.0,37.3,0.4,2.1,88.4,88,96
230,Video_Streaming,-5.2,87.4,8.6,10.2,72.3,58,68
231,VoIP_Call,-37.1,10.9,0.5,1.5,62.2,35,82
232,Streaming,-59.4,82.6,4.3,5.2,89.3,22,95
233,Emergency_Service,-84.7,14.1,7.3,7.6,90.0,92,85
234,File_Download,-59.5,83.0,13.4,14.3,52.8,87,83
235,Web_Browsing,-43.2,55.7,0.5,1.8,72.8,0,96
236,Video_Call,-44.9,21.8,1.1,2.1,80.0,98,80
237,Web_Browsing,-63.3,53.3,0.6,1.8,66.4,67,10
238,Background_Download,-57.0,10.4,9.6,11.6,54.2,54,49
239,Streaming,-55.8,76.8,4.7,5.0,61.0,62,36
240,Video_Call,-43.5,18.2,1.6,2.0,74.0,0,46
241,Video_Call,-57.1,87.2,1.3,2.2,88.0,63,6
242,Streaming,-3.1,38.8,4.8,5.4,64.2,7,4
243,Online_Gaming,-20.2,42.3,1.2,2.0,65.6,87,10
244,Online_Gaming,-41.3,51.5,1.2,1.7,63.1,79,47
245,Online_Gaming,-88.1,66.9,1.8,2.8,83.5,19,35
246,Streaming,-85.0,66.4,2.6,2.6,80.5,63,77
247,Streaming,-69.0,44.0,3.1,4.6,62.7,17,18
248,Video_Call,-82.6,18.8,1.1,1.5,65.8,85,25
249,Online_Gaming,-71.9,85.0,2.4,4.2,87.1,49,72
250,Video_Streaming,-49.9,94.4,6.2,6.5,94.1,40,10
251,Background_Download,-29.5,23.8,9.0,10.8,74.3,83,25
252,Online_Gaming,-45.5,67.2,3.0,4.5,55.4,47,58
253,Video_Streaming,-96.3,97.3,4.5,5.5,95.1,19,13
254,File_Download,-15.9,38.8,18.7,19.2,82.9,85,40
255,Streaming,-74.9,21.9,4.1,5.7,77.5,32,28
256,Web_Browsing,-46.7,94.3,0.5,2.5,60.2,88,79
257,Background_Download,-57.1,20.7,5.2,7.1,70.1,47,34
258,Emergency_Service,-7.7,55.8,9.5,10.9,55.4,8,66
259,Voice_Call,-21.9,58.5,0.2,1.8,74.7,46,2
260,Streaming,-94.0,45.5,2.6,4.5,73.8,97,57
261,Background_Download,-9.9,50.7,7.6,7.9,62.1,64,43
262,Web_Browsing,-25.0,75.0,0.8,2.2,83.5,61,8
263,Video_Call,-8.9,15.3,1.1,2.1,70.7,65,75
264,Voice_Call,-38.3,32.6,0.2,1.9,88.2,93,64
265,Streaming,-17.6,89.5,4.6,4.9,60.4,26,15
266,Video_Call,-17.5,13.2,1.4,2.1,99.2,50,22
267,Voice_Call,-56.6,81.1,0.2,0.9,56.0,86,66
268,Voice_Call,-3.2,58.3,0.2,1.1,95.9,83,69
269,Emergency_Service,-86.9,31.7,4.6,5.7,69.5,27,76
270,Voice_Call,-15.7,60.7,0.3,0.8,91.2,36,23
271,Emergency_Service,-46.3,95.4,3.3,4.5,83.5,96,68
272,File_Download,-56.0,17.0,15.5,17.2,58.5,89,11
273,Background_Download,-59.3,62.7,9.4,9.6,81.7,29,42
274,VoIP_Call,-2.6,52.5,0.3,0.7,98.8,66,66
275,Streaming,-41.0,59.4,3.1,4.3,98.8,82,12
276,VoIP_Call,-83.6,42.1,0.2,2.2,98.3,49,95
277,Video_Call,-14.7,12.2,1.8,3.3,74.0,19,49
278,Voice_Call,-3.4,14.2,0.2,0.5,74.9,74,26
279,Online_Gaming,-54.1,46.0,2.0,3.1,76.2,77,94
280,Online_Gaming,-84.7,86.8,1.4,2.8,88.2,77,71
281,Web_Browsing,-37.3,32.7,0.8,0.9,91.1,94,66
282,Streaming,-15.5,22.4,2.7,4.0,67.4,65,12
283,Voice_Call,-3.7,56.7,0.2,1.5,85.3,16,64
284,Online_Gaming,-2.8,10.5,2.4,4.3,76.3,14,39
285,Video_Call,-37.5,92.0,1.2,1.3,75.7,5,34
286,VoIP_Call,-33.7,36.5,0.1,1.8,53.6,44,84
287,Streaming,-66.3,83.0,3.9,5.8,54.2,48,2
288,Background_Download,-91.9,26.2,7.8,8.8,69.1,97,56
289,Online_Gaming,-62.3,62.8,2.2,4.2,82.3,81,72
290,Video_Streaming,-86.7,14.9,4.2,5.6,58.8,28,23
291,File_Download,-46.4,65.8,6.3,8.2,79.8,3,22
292,Video_Call,-31.2,98.2,1.9,2.1,92.3,60,74
293,Video_Streaming,-61.7,31.3,4.5,6.2,54.3,6,47
294,Online_Gaming,-95.4,83.5,2.4,3.9,50.8,66,56
295,Video_Call,-77.0,42.3,1.4,3.1,88.2,66,17
296,Emergency_Service,-21.7,69.3,5.5,6.5,77.2,89,80
297,Emergency_Service,-43.4,24.5,2.8,4.6,71.6,45,93
298,Emergency_Service,-36.7,23.6,3.3,4.4,74.3,93,14
299,Voice_Call,-3.4,45.2,0.3,0.5,95.6,15,15
300,Online_Gaming,-58.1,82.0,2.0,2.9,66.1,81,4
301,File_Download,-60.4,58.4,14.9,15.2,67.7,78,45
302,VoIP_Call,-39.8,27.7,0.3,0.4,74.7,29,0
303,Background_Download,-13.3,30.1,6.4,7.9,63.5,62,0
304,Streaming,-32.8,59.9,4.6,5.6,59.0,65,63
305,Streaming,-60.5,49.6,3.2,4.5,53.9,99,58
306,Video_Call,-80.2,19.0,1.4,2.2,77.8,82,19
307,Voice_Call,-64.5,39.1,0.1,0.2,62.6,7,23
308,VoIP_Call,-72.1,78.4,0.2,0.8,85.8,98,53
309,Background_Download,-99.4,67.9,6.5,8.2,91.8,23,46
310,Streaming,-71.1,73.2,4.8,5.9,98.6,14,50
311,Video_Call,-46.0,30.3,1.9,3.8,98.1,60,80
312,Emergency_Service,-27.2,51.6,6.3,7.3,94.4,17,5
313,Streaming,-91.7,42.5,2.5,2.8,71.8,79,8
314,Video_Streaming,-42.9,45.6,6.5,8.5,94.0,3,65
315,Voice_Call,-95.6,75.9,0.2,1.0,67.8,0,52
316,Video_Call,-30.2,92.6,1.1,2.6,94.0,35,33
317,Video_Call,-14.0,57.5,1.2,2.2,62.5,44,93
318,VoIP_Call,-60.5,45.5,0.4,0.7,87.4,7,57
319,VoIP_Call,-35.2,22.3,0.3,1.9,58.8,55,95
320,Web_Browsing,-24.0,46.3,0.8,1.5,95.8,71,17
321,VoIP_Call,-5.2,61.1,0.4,0.6,97.9,67,62
322,Video_Call,-75.0,99.4,2.0,3.3,64.9,51,62
323,Background_Download,-30.4,68.8,7.7,9.3,88.7,25,63
324,Streaming,-96.8,20.2,4.3,4.6,66.0,15,45
325,Voice_Call,-99.2,78.9,0.4,1.4,67.7,66,70
326,Video_Call,-26.3,44.9,1.5,3.0,71.4,42,73
327,Background_Download,-23.8,63.9,9.5,11.4,98.7,88,70
328,Emergency_Service,-40.2,32.4,6.9,8.6,91.2,28,13
329,Web_Browsing,-54.0,12.7,0.6,2.2,92.2,3,73
330,VoIP_Call,-81.3,56.5,0.1,2.0,58.8,46,8
331,Online_Gaming,-19.5,47.3,1.1,2.9,60.9,14,26
332,Video_Streaming,-23.6,78.6,4.8,6.4,79.5,16,45
333,VoIP_Call,-46.9,64.6,0.1,1.8,71.8,71,86
334,Voice_Call,-26.9,68.5,0.1,1.8,51.4,75,86
335,File_Download,-35.2,95.3,16.4,17.2,98.5,11,84
336,Voice_Call,-28.0,97.3,0.2,2.0,51.1,97,34
337,Video_Streaming,-72.4,80.7,4.2,5.3,74.3,41,88
338,File_Download,-56.4,79.1,8.0,9.3,64.9,89,19
339,File_Download,-17.0,23.0,11.5,11.6,95.9,64,43
340,VoIP_Call,-39.0,94.7,0.1,1.2,94.2,11,6
341,Online_Gaming,-95.5,26.7,2.4,3.1,92.6,19,22
342,Emergency_Service,-84.7,51.5,9.5,11.0,76.5,69,21
343,Video_Streaming,-94.9,28.3,8.7,9.1,89.9,35,32
344,File_Download,-26.3,70.4,19.1,20.3,85.4,27,51
345,VoIP_Call,-53.1,83.0,0.2,0.5,52.0,22,82
346,Video_Streaming,-34.1,41.3,9.8,11.3,96.5,72,66
347,File_Download,-5.4,42.6,14.2,15.2,71.2,41,46
348,Online_Gaming,-2.9,79.7,2.7,3.3,55.6,7,8
349,Video_Streaming,-86.0,70.9,5.7,7.2,83.5,72,86
350,Background_Download,-80.0,45.9,5.9,7.3,84.3,65,30
351,VoIP_Call,-76.9,55.9,0.5,1.2,71.1,54,3
352,Online_Gaming,-44.3,19.8,1.4,2.2,73.4,55,46
353,Web_Browsing,-92.2,37.8,0.9,2.6,90.0,40,62
354,Web_Browsing,-65.7,83.4,0.9,2.7,74.2,27,27
355,File_Download,-20.1,95.2,13.1,13.2,87.0,70,39
356,Online_Gaming,-83.7,55.4,2.0,3.0,51.3,10,87
357,Web_Browsing,-23.1,43.1,0.9,2.6,86.7,76,53
358,Background_Download,-3.2,59.8,7.5,7.7,77.6,27,50
359,VoIP_Call,-41.8,51.2,0.4,1.7,50.4,12,64
360,Emergency_Service,-64.4,28.8,9.6,10.2,72.2,70,3
361,File_Download,-25.1,99.0,14.2,15.8,50.3,12,45
362,Emergency_Service,-72.3,18.3,9.1,9.6,62.9,19,13
363,Voice_Call,-16.1,37.7,0.4,0.6,99.0,16,88
364,Voice_Call,-51.1,70.5,0.4,2.3,98.5,55,23
365,Voice_Call,-28.1,42.8,0.4,1.0,66.7,73,2
366,Emergency_Service,-4.2,42.3,6.8,8.4,72.3,79,57
367,File_Download,-81.9,82.8,11.8,13.2,77.3,42,89
368,Voice_Call,-65.5,82.0,0.2,0.8,72.0,45,8
369,VoIP_Call,-92.8,58.4,0.1,1.8,64.3,59,70
370,Emergency_Service,-55.8,36.5,6.9,8.2,75.2,28,7
371,Voice_Call,-16.7,85.0,0.5,1.4,88.8,56,63
372,Web_Browsing,-53.5,96.6,0.6,1.0,77.5,5,11
373,Emergency_Service,-21.4,52.2,7.6,8.6,97.5,44,32
374,VoIP_Call,-85.5,61.2,0.1,0.3,96.7,34,72
375,VoIP_Call,-54.4,20.4,0.3,1.0,74.6,1,71
376,Online_Gaming,-6.5,86.7,1.6,1.8,67.9,9,44
377,Video_Streaming,-84.3,36.1,3.9,5.7,69.7,57,78
378,Online_Gaming,-11.2,30.3,2.3,3.0,51.4,40,85
379,Video_Call,-91.8,89.7,1.2,2.7,87.1,93,20
380,VoIP_Call,-51.0,12.8,0.2,0.2,88.9,41,24
381,File_Download,-81.5,26.4,9.2,9.8,56.1,86,91
382,File_Download,-27.4,17.9,17.2,17.6,97.0,14,79
383,Streaming,-34.1,59.7,4.2,5.9,53.1,93,18
384,Video_Streaming,-96.8,83.1,7.7,9.3,74.2,54,66
385,File_Download,-92.7,58.4,15.3,15.8,92.5,47,46
386,Voice_Call,-98.4,44.9,0.1,1.5,84.7,85,76
387,Video_Streaming,-47.9,36.4,5.0,5.1,83.1,53,57
388,VoIP_Call,-27.2,32.3,0.3,0.4,50.3,26,9
389,Video_Streaming,-31.7,70.0,8.4,8.7,82.4,6,73
390,File_Download,-55.7,38.3,15.9,16.1,80.5,57,0
391,Emergency_Service,-99.0,72.5,7.4,8.5,79.6,83,92
392,Voice_Call,-79.4,73.1,0.2,1.5,86.1,21,86
393,Streaming,-13.6,17.9,4.0,5.0,59.9,91,75
394,Video_Streaming,-65.8,51.9,5.7,6.9,51.9,87,63
395,File_Download,-53.0,54.3,18.9,20.6,93.0,33,81
396,Video_Call,-24.2,98.6,1.8,3.5,84.1,20,48
397,VoIP_Call,-92.9,40.4,0.1,1.8,97.4,7,83
398,Voice_Call,-39.7,33.5,0.3,1.0,55.0,65,94
399,Web_Browsing,-27.9,63.3,0.9,0.9,89.5,92,93
400,Streaming,-68.5,42.4,4.3,4.6,68.8,66,70
401,Streaming,-74.4,48.9,4.6,5.9,77.4,75,36
402,Online_Gaming,-80.1,49.2,1.7,3.1,69.2,80,63
403,Emergency_Service,-18.3,85.9,6.8,7.8,55.9,74,74
404,Online_Gaming,-57.4,78.2,2.5,3.4,77.6,11,14
405,VoIP_Call,-53.3,58.3,0.3,2.1,55.8,35,63
406,File_Download,-32.5,97.6,9.2,10.9,93.7,9,44
407,Video_Streaming,-82.1,41.2,7.2,7.5,90.0,21,0
408,Video_Call,-37.0,19.8,1.6,3.4,61.1,66,17
409,Background_Download,-18.8,39.0,9.7,11.5,56.4,40,84
410,Web_Browsing,-55.2,51.1,0.8,1.8,90.5,24,21
